NPDES # CA#,ORDER #,WDID,FACILITY NAME,population_cwns,population_cwns_2042,population_sso,epaid,population_covid,source,Population Served,population_growth_rate
CAC432817,R5-2023-0025,5A310106007,Pleasant Grove WWTP,5490,5679,,,,CWNS,5490,0.17
CA0077844,R5-2018-0088,5A320102001,Portola WWTP,441,475,,,,CWNS,441,0.37
CA0078891,R5-2023-0048,5A520101001,Red Bluff WW Reclamation Plant,59400,90000,14076,,,CWNS+SSO,59400,2.1
CA0079464,R5-2018-0075,5B050103001,San Andreas SD WWTP,16927,19078,,,,CWNS,16927,0.6
CA0079235,R5-2021-0044,5A040106001,Sewerage Commission Oroville Region WWTP,5490,5679,44000,CA0079235,44000,CWNS+SSO+COVID,5490,0.17
CA0079511,R5-2020-0058,5A450105001,Shasta Lake WWTF,441,475,9800,,,CWNS+SSO,441,0.37
CAC439983,R5-2023-0025,5D150118002,Stallion Springs WWTF,5490,5679,,,,CWNS,5490,0.17
CA0082589,R5-2023-0017,5A450103004,Stillwater WWTF,630,666,,CA0082589,29000,CWNS+COVID,630,0.28
CA0079138,R5-2020-0007-01,5B390107001,Stockton Regional WW Control Facility,3242,3242,,CA0079138,320000,CWNS+COVID,3242,0
CA0079154,R5-2022-0073,5B390108001,Tracy WWTP,1043,1064,,CA0079154,98601,CWNS+COVID,1043,0.1
CA0078948,R5-2021-0005,5C500108001,"Turlock City, Turlock Regional Water Quality Control Facility",2919,2919,,CA0078948,86000,CWNS+COVID,2919,0
CA0077895,R5-2021-0007,5A570800001,UC Davis Main WWTP,5490,5679,47000,,,CWNS+SSO,5490,0.17
CAC429451,R5-2023-0025,5B39NP00073,White Slough Water Pollution Control Facility,9000,12600,,,,CWNS,9000,1.7
CAC433345,R5-2023-0025,5A060103001,Williams WWTP,39600,39600,,,,CWNS,39600,0
CA0078034,R5-2023-0025,5A110101001,Willows Wastewater Treatment Plant,5490,5679,,,,CWNS,5490,0.17
CA0077950,R5-2020-0015,5A570105001,Woodland Water Pollution Control Facility,1890,1890,,CA0077950,59000,CWNS+COVID,1890,0
CA0079260,R5-2019-0017-01,5A510101001,Yuba City WWTF,12524,12524,,CA0079260,70000,CWNS+COVID,12524,0
CA0102695,R6T-2008-0022,6A181554001,Susanville CSD,2333,2333,9960,,,CWNS+SSO,2333,0
CA0102822,R6V-2020-0028,6B360109001,Victor Valley Wastewater Reclamation Authority WTP,48631,76460,251910,,,CWNS+SSO,48631,2.29
CA0104523,R7-2021-0005,7A130100011,Brawley City WWTP,7920,8242,,,,CWNS,7920,0.2
CA7000009,R7-2019-0004,7A130101011,Calexico City WWTP,5490,5679,40000,CA7000009,40000,CWNS+SSO+COVID,5490,0.17
CA0105015,R7-2020-0010,7A130102041,Calipatria City WWTP,21375,22050,,,,CWNS,21375,0.16
CA0104493,R7-2020-0008,7A330104012,Coachella SD WWTP,335503,416699,45407,,,CWNS+SSO,335503,1.09
CA0104973,R7-2023-0013,7A330105091,Coachella Valley WD WWTP,79920,108000,,,,CWNS,79920,1.52
CA0104264,R7-2023-0041,7A131001011,Country Life MHPRV Asset Partners LP WWTP,116883,127351,,,,CWNS,116883,0.43
CA0104841,R7-2023-0046,7A131057011,Date Gardens MHP WWTP,630,666,,,,CWNS,630,0.28
CA0104426,R7-2019-0002,7A130103011,El Centro City WWTP,3242,3242,44311,,,CWNS+SSO,3242,0
CA0104370,R7-2022-0007,7A130104011,Heber PUD WWTP,,,6900,,,SSO,6900,
CA0104361,R7-2022-0005,7A130105011,Holtville City WWTP,5490,5679,,,,CWNS,5490,0.17
CA0104400,R7-2021-0002,7A130106011,Imperial City WWTP,53100,63000,,,,CWNS,53100,0.86
CA0104451,R7-2019-0005,7A130109011,Niland SD WWTP,47700,55170,,,,CWNS,47700,0.73
CA0105023,R7-2023-0003,7A130111013,Seeley CWD WWTP,15998,15480,,,,CWNS,15998,-0.16
CA0104477,R7-2020-0007,7A330122021,Valley SD WWTP,230482,203312,,CA0104477,91765,CWNS+COVID,230482,-0.63
CA0105007,R7-2023-0002,7A130112012,Westmorland City WWTP,441,475,,,,CWNS,441,0.37
CA0105376,R8-2022-0042,8 330101001,Beaumont WWTP No. 1,36316,37800,,,,CWNS,36316,0.2
CA0105236,R8-2012-0050,8 360105001,Colton WRF,7200,6371,,,,CWNS,7200,-0.61
CA8000304,R8-2013-0032,8 362375001,"Colton/San Bernadino STP, RIX",68400,105300,,,,CWNS,68400,2.18
CA8000383,R8-2020-0021,8 330108001,Corona WWRF #1,56700,63000,,,,CWNS,56700,0.53
CA8000395,R8-2014-0015,8 332476001,Corona WWRF #3,7920,8242,,,,CWNS,7920,0.2
CA8000027,R8-2013-0017,8 330112001,EVMWD Regional WWRF,5490,5679,,,,CWNS,5490,0.17
CA0107611,R9-2022-0006,9 000000117,El Toro WD WRP,39493,42300,42174,CA0107611,129000,CWNS+SSO+COVID,39493,0.34
CA0105619,R8-2015-0027,8 362222001,Henry N. Wochholz WWRF,3334,3334,,,,CWNS,3334,0
CA8000409,R8-2022-0041,8 362918001,IEUA Carbon Canyon WWRF,4991,4991,79139,CA8000409,890000,CWNS+SSO+COVID,4991,0
CA8000409,R8-2022-0041,8 362918001,IEUA Regional Plant No. 1,19227,32377,79139,CA8000409,890000,CWNS+SSO+COVID,19227,2.64
CA8000409,R8-2022-0041,8 362918001,IEUA Regional Plant No. 2,1002,1002,79139,CA8000409,890000,CWNS+SSO+COVID,1002,0
CA8000409,R8-2022-0041,8 362918001,IEUA Regional Plant No. 4,1890,1867,79139,CA8000409,890000,CWNS+SSO+COVID,1890,-0.06
CA8000409,R8-2022-0041,8 362918001,IEUA Regional Plant No. 5,75413,118827,79139,CA8000409,890000,CWNS+SSO+COVID,75413,2.3
CA0107611,R9-2022-0006,9 000000117,IRWD Los Alisos WRP,2030,1890,42174,CA0107611,129000,CWNS+SSO+COVID,2030,-0.36
CA8000326,R8-2015-0024,8 302006002,Los Alisos WD WWTP,35798,64156,367199,,,CWNS+SSO,35798,2.96
CA0105392,R8-2017-0049,8 360114003,Margaret H Chandler WWRF,60354,65423,,CA0105392,325000,CWNS+COVID,60354,0.4
CA8000326,R8-2015-0024,8 302006002,Michelson WWRF,403461,376419,367199,,,CWNS+SSO,403461,-0.35
