FACILITY ID,FACILITY NAME,REGION,PROGRAM CATEGORY,ASSIGNED CATEGORY,COMMUNITY TYPE,FEDERAL FACILITY,NPDES ASSESSMENT,WDR ASSESSMENT,CS ASSESSMENT,wdid,npdes_permit_number,order_number,pop_cwns,pop_cwns_2042,pop_sso_csv,pop_covid,pop_served_csv,pop_source_csv,pop_growth_rate,wdid_sso,pop_served_via_rwb,pop_final,pop_final_source,pop_final_rwb_preferred,pop_final_rwb_preferred_source
206582,AMH Senior Living LLC (fomerly Addie Meedom House Assisted Living Facility),1,WDR,i,COMMUNITY,FALSE,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204867,Alamo Ranch RV Park,1,WDR,RV,TRANSIENT,FALSE,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715412,Anne Mack Johnson Housing Complex,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
781066,Benbow Hotel and Resort,1,WDR,RT,TRANSIENT,FALSE,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209801,Blue Lake City POTW,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1B81129OHUM,NA,R1-2012-0050,740946,769910,NA,NA,740946,CWNS,0.19,NA,NA,740946,pop_cwns,740946,pop_cwns
209949,Bodega Bay Wastewater Reclamation Facility,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1B75028OSON,NA,R1-2023-0011,590277,636342,NA,NA,590277,CWNS,0.38,NA,NA,590277,pop_cwns,590277,pop_cwns
213596,CDC Pelican Bay Prison WWTP,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1A89001NDN,NA,94-071,76729,81145,NA,NA,76729,CWNS,0.28,NA,NA,76729,pop_cwns,76729,pop_cwns
213599,CDF Alder Conservation Camp,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1A75266ODN,NA,97-010-DWQ,98730,102150,NA,NA,98730,CWNS,0.17,NA,NA,98730,pop_cwns,98730,pop_cwns
214008,CDF Chamberlain Creek Conservation Camp,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1B04044RMEN,NA,97-010-DWQ,181194,197824,NA,NA,181194,CWNS,0.44,NA,NA,181194,pop_cwns,181194,pop_cwns
213604,CDF Parlin Fork Conservation Camp,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1B77108OMEN,NA,2014-0153-DWQ,0,0,NA,NA,0,CWNS,NA,NA,NA,0,pop_cwns,0,pop_cwns
213611,CDF Trinity River Conservation Camp STP,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1A85029RTRI,NA,97-010-DWQ,36124,36124,NA,NA,36124,CWNS,0,NA,NA,36124,pop_cwns,36124,pop_cwns
213600,CalFire Deadwood Conservation Camp STP,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1A82082OSIS,NA,82-082,39764,54900,NA,NA,39764,CWNS,1.63,NA,NA,39764,pop_cwns,39764,pop_cwns
212776,Calpella CWD WWTP,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1B77162OMEN,NA,R1-2019-0010,309132,309132,NA,NA,309132,CWNS,0,NA,NA,309132,pop_cwns,309132,pop_cwns
213470,Caspar South Water District,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1B82076OMEN,NA,82-076,331491,342900,NA,NA,331491,CWNS,0.17,NA,NA,331491,pop_cwns,331491,pop_cwns
215141,"College of the Redwoods, POTW",1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1B80121OHUM,CA0006700,2014-0153-DWQ,1061827,1087993,NA,NA,1061827,CWNS,0.12,NA,NA,1061827,pop_cwns,1061827,pop_cwns
215515,"Consolidated Tribal Health Project, Inc.",1,WDR,i,COMMUNITY,FALSE,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220567,Dorris City STP,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1A77141OSIS,NA,98-004,983054,1053585,938,NA,983054,CWNS+SSO,0.35,NA,NA,983054,pop_cwns,983054,pop_cwns
221758,E-Z Livin' Mobile Home Park,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1B77161OMEN,NA,97-010-DWQ,309132,309132,NA,NA,309132,CWNS,0,NA,NA,309132,pop_cwns,309132,pop_cwns
252260,Elk Country RV Resort & Campground,1,WDR,RV,TRANSIENT,FALSE,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222998,Etna STP,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1A82104OSIS,NA,R1-2015-0026,740946,769910,NA,NA,740946,CWNS,0.19,NA,NA,740946,pop_cwns,740946,pop_cwns
224384,Fetzer Vineyards Labor Housing,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225072,Fort Jones City WWTP,1,WDR,i,COMMUNITY,FALSE,No,Yes,No,1A81157OSIS,NA,R1-2014-0029,590277,636342,NA,NA,590277,CWNS,0.38,NA,NA,590277,pop_cwns,590277,pop_cwns
